ID,Gamma,Tin,Norm,Red. Pg-Stat,mjd,Intensity,hardness ratio
1130360202_0,1.76316,0.395791,311.015,1.1142307692307691,58288.9965278,33.03156947647288,0.38332270344942737
1130360283_2,1.1947,1.99965,0.1,1.0654268292682927,58502.8292245,2.2512333736684336,0.4533376933616893
1130360152_1,3.5,0.479442,4687.95,1.123923076923077,58210.9939699,92.51227135153094,0.030084374318884163
1130360203_2,1.87171,0.362431,2615.66,1.0340201005025127,58290.3462963,48.902596850744196,0.33835051722145343
1130360219_0,1.56833,0.200718,17.2874,0.9536601307189543,58313.5863079,1.2287083587553467,0.4830761983207758
1130360140_0,3.5,0.615697,3942.15,1.2031,58193.1971644,347.6711235205259,0.05767527433692093
1130360268_0,1.47269,0.200314,0.181309,0.977741935483871,58388.8881944,1.5201473027473418,0.5176930491777547
1130360210_1,1.6483,0.349017,221.115,1.1245578231292517,58303.2864592,13.518789377890627,0.4247237342065819
1130360143_0,3.44999,0.604837,3835.12,1.21425,58196.4206829,314.4498806313888,0.05717262440390881
1130360244_4,1.1,0.200001,587.251,1.059591836734694,58350.5493056,1.4019766093653134,0.7263674238277594
1130360284_1,1.84292,0.330983,79.7863,1.0856470588235294,58505.1463657,1.7776629404747892,0.44974914782353975
1130360145_2,1.12776,0.59415,3883.0,0.9713815789473684,58198.4808102,283.70513263420827,0.05347902959027754
1130360107_6,2.56507,0.883997,1964.86,1.24885,58030.725544,7132.767060110885,0.3134187563734398
1130360225_0,1.62611,0.711276,0.1,1.3499295774647888,58320.6632639,6.66248887664816,0.5149278305761559
1130360221_0,1.10054,0.770907,1.35506,1.0174705882352941,58315.5812153,1.9565607019257831,0.4954854089875175
1130360184_15,2.14745,0.442664,5386.57,1.2121518987341773,58266.6153356,71.26446904466322,0.07454428343748414
2130360203_0,1.34927,1.19262,0.1,1.3231818181818182,58572.1951852,0.9093597596640943,0.4436898433890455
1130360184_13,1.75276,0.48451,2884.2,1.2038064516129032,58266.4866204,71.69265280057883,0.06828455431789421
1130360218_0,1.30672,0.303759,272.275,1.118695652173913,58311.8530556,1.2594467958469313,0.5574945499950152
1050360104_1,2.22266,0.65887,449.548,1.37405,58008.5201852,5016.204774016586,0.35294905553827527
1130360228_2,2.05664,0.248491,23899.3,1.0894557823129252,58324.7163079,33.21302736807848,0.3509671907467566
1130360146_3,1.10366,0.590096,3895.22,1.38035,58199.3152315,271.95263318257975,0.054030201908688305
1130360189_0,1.38251,0.437201,257.123,1.1898802395209582,58274.2211574,12.166326859324533,0.40910130338992823
1130360226_8,1.71754,0.200089,6840.66,1.040378787878788,58321.825,11.515674636448788,0.4362898962612966
1130360153_0,2.09565,0.485792,4331.3,1.0510852713178296,58211.0583102,91.79483814521647,0.029067256056940133
1130360258_0,1.30819,0.230825,125.371,1.173179190751445,58376.0151042,1.5560597883512397,0.5720720181279422
1130360232_1,2.00285,0.238935,20330.2,0.9881818181818183,58328.5084491,31.841736031854847,0.3451156414977399
1130360178_2,2.23391,0.302057,176.168,1.243076923076923,58252.3717477,0.9245991364326058,0.33399213012264634
1130360186_0,1.97459,0.342451,3356.41,1.2641666666666667,58270.9260764,30.168350588172164,0.2931929277629387
1130360203_0,1.867,0.334252,4552.64,1.215151515151515,58290.217662,47.4280905323374,0.34276182273580097
1130360184_4,3.0281,0.409059,8958.18,0.9670542635658915,58266.2303013,72.54941072523062,0.06104673262224931
1130360156_3,3.49668,0.437012,5042.24,1.2525925925925925,58214.5350579,53.08085309140425,0.02202379454207287
1130360262_0,1.69519,0.60071,0.1,0.9783333333333334,58381.2459954,0.78017462430591,0.4772528111571851
1130360276_0,1.10001,0.570364,7.54912,0.9844318181818181,58398.7387269,3.277847500653882,0.5491724152912016
