TIC_ID|GDR2_ID|GDR2_RA|GDR2_DEC|TLC|mas_parrallax|g_mag|bp-rp|probability|age_myr|age_err_lower|age_err_upper|Distance|absolute_mag|cadences|tic_id_corrected|ecl_lat|ecl_lon|gal_lat|gal_lon
TIC_99135109|928878937953274240|122.1033|43.7983|-1|19.15|13.6|3.0|0.32|29.2|22.7|10.6|52.21932115|10.01084389147435|120,1800|99135067|23.066725979133242|114.6365237895438|31.824311621192738|176.25529112535446
TIC_341487412|154779286930692352|71.8378|28.1478|-1|16.06|12.7|2.7|1.0|11.5|4.6|3.4|62.26650062|8.728727704806248|120|59836633|5.713887409436984|73.96164343782544|-10.912649844328776|173.2442487599247
TIC_159925317|4854562884259914240|50.952|-36.8775|5|10.5|15.1|3.1|0.77|23.8|8.4|4.8|95.23809524|10.20594649530626|120,600,1800|160004720|-52.91092100628544|33.31548407061084|-56.50463588823088|239.52242892051862
TIC_189899548|3237712515716135936|82.8871|5.9498|18|10.02|14.5|2.9|0.65|18.1|6.5|5.4|99.80039920000002|9.504338607690878|600,1800|138901588|-17.30666591589092|82.58443373091194|-14.77874708958975|198.1215984812609
TIC_411614400|4925565806128845056|11.368|-51.6264|-1|24.3|11.0|2.3|0.15|19.5|30.0|6.0|41.15226337|7.92803136822825|20,120,600,1800|156084049|-50.17110032715804|341.8400614654652|-65.47600173686646|305.16289651544076
TIC_90039572|5697900912796946304|121.7797|-25.1215|-1|12.75|14.0|2.8|0.14|27.7|15.1|5.9|78.43137255|9.527550923822728|600,1800|154319146|-44.080160330568205|131.58497499983932|3.881887814211566|243.7877377879963
TIC_298854183|6129159884655362944|190.3729|-46.6874|22|10.41|15.6|3.6|1.0|11.3|2.7|2.8|96.06147935|10.687253647479936|120,1800|73308877|-38.20298776745611|210.8280887431515|16.15005488038604|301.1563798168818
TIC_60851503|4898005104069516928|66.9003|-23.2831|-1|24.88|13.7|3.2|0.31|37.3|29.5|15.0|40.19292605|10.679251879824642|120,600,1800|139725285|-44.32644241636258|59.74641837592694|-41.32183040206373|221.03337207571232
TIC_72312079|6228009965722154880|227.2666|-23.9484|22|10.25|13.8|2.6|0.29|20.2|14.7|3.8|97.56097561|8.853619326953437|1800|61152734|-6.050019754072872|231.41348947089486|29.076406437614946|339.1522745359652
TIC_274944930|2977580846408038016|71.72|-19.6126|-1|10.46|15.0|3.2|1.0|17.1|2.5|3.8|95.60229446|10.097658422544228|1800|423518367|-41.58658847619602|66.7283343293576|-35.91520880037526|218.36004472299817
TIC_81100067|248452695459090816|57.6961|48.2097|-1|14.61|13.7|2.9|0.98|16.3|4.6|6.0|68.44626968|9.523251079617632|120,1800|449941032|27.387824714109392|66.34972077493538|-4.622952698665734|151.05768542004134
TIC_6242148|6143632653128880896|184.5776|-45.4782|22|12.23|14.7|3.3|1.0|12.8|2.7|3.2|81.76614881|10.137132285298035|120,1800|22507789|-39.189692094094504|205.6010379838786|17.003219410011965|296.86920931703384
TIC_270622446|4938968337475105152|38.1153|-47.9121|-1|10.33|14.5|3.1|1.0|14.3|2.6|3.4|96.8054211|9.570501607678448|600,1800|142199971|-57.72000770795756|9.087366325987025|-61.39058506031885|266.25978572171607
TIC_111936322|3041196768130819712|114.5854|-10.1553|-1|18.84|14.0|3.2|0.42|30.2|17.3|6.8|53.07855626|10.375404492418056|600,1800|93681885|-31.185872667116293|118.59720411420197|5.603360104953755|227.36974569352702
TIC_160329609|2056888841976119552|308.1479|35.977|-1|11.77|14.4|2.9|0.33|24.0|11.0|6.5|84.9617672|9.753882314338776|120,1800|17251144|52.38542131876047|324.9803551982467|-2.2803984063603266|75.85394800391656
TIC_148949324|6168418875031853952|204.951|-33.1056|22|10.12|16.2|3.4|0.18|42.6|29.0|7.6|98.81422925|11.225902562497186|600,1800|101940827|-21.13422584049532|215.48254839625923|28.680269658210918|314.46933173079975
TIC_68565222|4045872769346304896|273.7537|-32.0324|22|13.72|15.5|3.7|1.0|16.0|4.5|4.6|72.88629738|11.186770556737274|1800|60801411|-8.63504124201204|273.2141979977151|-7.033525206908831|0.43409570328872293
TIC_255344540|2778514330621118336|12.911|15.5042|-1|13.12|13.0|2.5|0.13|22.2|30.1|2.1|76.2195122|8.589669175059234|120,1800|58825604|9.184094437670682|17.923751771724007|-47.367518252885716|123.00522773306194
