TIC_ID,GDR2_ID,GDR2_RA,GDR2_DEC,TLC,mas_parrallax,g_mag,bp-rp,probability,age_myr,age_err_lower,age_err_upper,Distance,absolute_mag
TIC_4767891,12258596873788032,54.9117,9.8832,-1,10.13,15.0,3.1,0.46,22.5,5.9,4.5,98.71668312,10.028047226789242
TIC_309275848,4136955517902039936,261.1023,-15.4113,-1,10.59,14.9,3.0,0.22,28.3,10.6,8.7,94.42870633,10.024479800462077
TIC_422668507,3307516248356072960,68.7756,13.1344,18,13.0,14.2,3.0,1.0,16.5,3.2,4.3,76.92307692,9.769716761621044
TIC_328543073,3307384272600845440,67.678,12.5469,-1,11.31,15.6,3.3,0.54,28.6,8.7,7.9,88.41732979999999,10.86731302454476
TIC_152959763,389531685252473216,6.8186,47.5176,-1,11.43,14.0,2.7,0.39,22.0,5.6,5.1,87.48906387,9.29023115190236
TIC_58122372,389531685252473856,6.8197,47.5168,-1,11.5,14.1,2.9,0.56,19.7,8.2,4.6,86.95652174,9.403489201746345
TIC_160329609,2056888841976119552,308.1479,35.977,-1,11.77,14.4,2.9,0.33,24.0,11.0,6.5,84.9617672,9.753882314338776
TIC_6242148,6143632653128880896,184.5776,-45.4782,22,12.23,14.7,3.3,1.0,12.8,2.7,3.2,81.76614881,10.137132285298035
TIC_24859730,2886233695250041216,91.2174,-34.5585,-1,15.4,11.1,3.4,0.51,32.6,5.9,7.2,64.93506494,7.037603604017283
TIC_309990100,6139584010795996160,192.7046,-42.5233,22,10.26,14.0,3.1,1.0,6.4,2.7,1.6,97.46588694,9.055736803869433
TIC_241123277,6139583907716775936,192.6988,-42.5303,22,10.11,14.8,3.0,0.85,17.0,2.8,3.7,98.91196835,9.823755777914831
TIC_233236348,5925191402433966080,262.9173,-51.885,-1,12.1,13.2,2.5,0.12,23.2,114.0,3.1,82.64462809999999,8.613926851560535
TIC_84834763,95445207088679424,25.9,19.2586,-1,17.2,12.9,2.9,1.0,10.1,2.1,3.4,58.13953488,9.07764223467672
TIC_147158746,5225172897817489024,175.2063,-74.9942,22,10.4,16.4,3.8,0.99,18.6,3.5,3.7,96.15384615,11.48516669658076
TIC_460324006,2909156038788625408,83.6656,-25.7657,-1,13.68,14.3,3.2,1.0,14.8,2.8,4.2,73.0994152,9.98043048705946
TIC_386898812,5100563664489495936,53.6354,-20.6237,-1,10.96,15.4,3.2,0.39,28.7,9.5,6.1,91.24087591,10.599052770799078
TIC_327595423,6056690729718614272,192.2286,-59.83,22,10.63,12.7,2.4,0.74,11.7,4.1,2.1,94.07337723,7.832666322714417
