time,flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
1646.7442625476292,0.7519515752792358,0.03066716529428959,20125,0.7519516,0.9863554,0.030667165,0,32,1309.8375244140625,1718.9520263671875,-701.78,848.04,0.99709857,0.9896958
1646.7650959916884,0.7788125872612,0.03066716529428959,20126,0.7788126,1.0519668,0.030667165,0,32,1309.8350830078125,1718.9478759765625,-491.25,701.8,1.0362797,1.0520648
1646.7859294353586,0.7464116215705872,0.03066716529428959,20127,0.7464116,1.0372733,0.030667165,0,32,1309.837646484375,1718.950927734375,-270.91,869.94,1.0216563,1.0448961
1646.806762878604,0.7226050496101379,0.03066716529428959,20128,0.72260505,1.0314313,0.030667165,0,32,1309.8353271484375,1718.9483642578125,-561.65,979.13,1.0025496,1.031695
1646.8275963214617,0.6952419877052307,0.03066716529428959,20129,0.695242,1.0168031,0.030667165,0,32,1309.8375244140625,1718.949951171875,-628.37,891.99,0.99604905,1.016879
1646.8484297638938,0.673026978969574,0.03066716529428959,20130,0.673027,1.0052859,0.030667165,0,32,1309.83544921875,1718.94775390625,-447.23,1027.98,0.9749116,1.0042392
1646.8692632059353,0.6597236394882202,0.03066716529428959,20131,0.65972364,1.0023708,0.030667165,0,32,1309.837646484375,1718.9493408203125,-647.05,958.7,0.97723156,1.0038502
1646.8900966475517,0.6471317410469055,0.03066716529428959,20132,0.64713174,0.9953581,0.030667165,0,32,1309.8360595703125,1718.9466552734375,-531.63,1229.45,0.9581668,0.9979283
1646.910930088777,0.6523157954216003,0.03066716529428959,20133,0.6523158,1.0100299,0.030667165,0,32,1309.8380126953125,1718.9512939453125,-638.58,971.93,0.97792023,1.0116806
1646.9317635295743,0.6465078592300415,0.03066716529428959,20134,0.64650786,1.0013052,0.030667165,0,32,1309.836669921875,1718.9456787109375,-673.32,1027.81,0.9680705,1.005074
1646.9525969699826,0.6456243991851807,0.03066716529428959,20135,0.6456244,0.9930579,0.030667165,0,32,1309.838134765625,1718.949951171875,-646.35,987.69,0.97338593,0.9948223
1646.9734304099625,0.6659029722213745,0.03066716529428959,20136,0.665903,1.0093932,0.030667165,0,32,1309.8359375,1718.9476318359375,-515.28,1023.55,0.99546564,0.99894124
1646.994263849553,0.6620000004768372,0.03066716529428959,20137,0.662,0.98187864,0.030667165,0,32,1309.8377685546875,1718.951171875,-592.62,1248.07,0.98096913,0.97773814
1647.015097288711,0.709343671798706,0.03066716529428959,20138,0.7093437,1.0229943,0.030667165,0,32,1309.8359375,1718.9483642578125,-866.56,1292.43,1.0128008,1.0203469
1647.035930727482,0.7213661074638367,0.03066716529428959,20139,0.7213661,1.0060658,0.030667165,0,32,1309.837646484375,1718.9501953125,-413.85,901.34,1.0112834,1.0058794
1647.0567641658204,0.7457318902015686,0.03066716529428959,20140,0.7457319,1.0011883,0.030667165,0,32,1309.836181640625,1718.947265625,-607.22,1034.15,1.0238321,0.9943951
1647.0775976037676,0.762596070766449,0.03066716529428959,20141,0.7625961,0.9819036,0.030667165,0,32,1309.838134765625,1718.9500732421875,-400.89,1185.64,0.99840355,0.9886879
1647.0984310412844,0.807904839515686,0.03066716529428959,20142,0.80790484,0.99477774,0.030667165,0,32,1309.835693359375,1718.9503173828125,-572.71,1088.45,1.0217146,0.99056196
1647.1192644784096,0.828172504901886,0.03066716529428959,20143,0.8281725,0.9731936,0.030667165,0,32,1309.838134765625,1718.9493408203125,-337.37,865.51,1.0017768,0.9792035
1647.1400979151017,0.8722841739654541,0.03066716529428959,20144,0.8722842,0.97710365,0.030667165,0,32,1309.8365478515625,1718.9498291015625,-419.46,846.88,1.0077631,0.97763336
1647.1609313514018,0.9158889055252075,0.03066716529428959,20145,0.9158889,0.97767025,0.030667165,0,32,1309.83740234375,1718.9510498046875,-681.95,687.87,1.0113723,0.9796087
