DR2Name,RA_ICRS,DE_ICRS,Plx,Gmag,BPmag,RPmag,BP-RP
GaiaDR288923002990464,044.50684050573,+00.53181146661,0.2326,19.2348,20.4255,18.0892,2.3363
GaiaDR288991722497536,044.51414772985,+00.54098299973,0.9738,19.7222,20.8184,18.4526,2.3658
GaiaDR289163521156992,044.43051937131,+00.50808922558,-0.0226,17.6694,17.9334,17.2427,0.6908
GaiaDR289163522557056,044.42076021058,+00.51357833037,1.3188,19.5192,19.8350,17.7794,2.0556
GaiaDR289202176545152,044.45813453409,+00.51127340912,0.9799,14.9524,15.3044,14.4368,0.8677
GaiaDR289442694714368,044.39918348342,+00.52978311870,1.2690,14.4721,14.8701,13.9191,0.9510
GaiaDR289678917235200,044.47083236803,+00.54166696812,1.0139,19.7040,20.3866,18.8145,1.5720
GaiaDR289713277003776,044.47724711654,+00.55052143422,2.6798,19.5214,21.5641,18.1295,3.4346
GaiaDR289850715929088,044.49126407090,+00.57221866404,0.4980,17.6657,18.3809,16.8605,1.5205
GaiaDR289919435404672,044.46579837117,+00.55934092678,,21.0364,,,
GaiaDR290022514620544,044.47392597202,+00.57057784416,12.2771,17.8570,,,
GaiaDR290022514651136,044.46976282452,+00.57362579577,,20.2607,21.4186,19.1489,2.2698
GaiaDR290056875785984,044.48419431507,+00.57622150005,1.1332,20.7010,21.0723,19.4812,1.5911
GaiaDR290091234128128,044.46701776812,+00.57597349519,2.6660,19.8147,20.8548,18.5584,2.2964
GaiaDR290095529740416,044.46437959831,+00.58105794369,0.0211,13.5096,14.2949,12.6554,1.6395
GaiaDR290125593838080,044.47632498545,+00.59211012341,0.2986,19.0488,19.5082,18.3226,1.1856
GaiaDR290198608955264,044.56871417678,+00.54730026029,0.0141,14.8564,15.3794,14.1805,1.1989
GaiaDR290263032787584,044.56034522244,+00.55129160133,,18.7428,20.0592,17.1705,2.8886
GaiaDR290404767457664,044.58721615429,+00.56963064717,-1.4950,20.6855,21.1085,19.8920,1.2165
GaiaDR290400471742464,044.57764813906,+00.56966065464,0.5864,17.9704,18.4986,17.2970,1.2016
GaiaDR290572270434176,044.57045288675,+00.56963696062,0.9062,20.1545,20.6652,19.5814,1.0838
GaiaDR290709709549056,044.60594754378,+00.56353134206,1.4075,19.1325,20.2911,17.9853,2.3058
GaiaDR290988882936832,044.58279780182,+00.57856739386,2.6648,16.2837,17.3865,15.1439,2.2425
GaiaDR290984587296512,044.58252187443,+00.58145690697,1.1339,16.0108,16.5877,15.3063,1.2814
GaiaDR291018947204864,044.59826224240,+00.60013101117,-0.6483,19.6758,20.0534,19.1684,0.8850
GaiaDR291023242674176,044.59044194746,+00.59753071653,2.4038,13.6878,14.1287,13.0986,1.0300
GaiaDR291018947429120,044.58595922283,+00.59527747077,,20.5380,20.5670,20.0533,0.5137
GaiaDR291053308212352,044.56820260851,+00.59281023388,,21.0483,,,
GaiaDR291053306774656,044.56898450488,+00.59586614294,0.4008,20.0560,20.3514,19.5197,0.8317
GaiaDR291122026422528,044.59561999208,+00.60694046121,-1.7049,20.7470,20.9133,20.2518,0.6615
GaiaDR291126321888640,044.60379483238,+00.60890380698,1.2897,19.8770,21.2741,18.6628,2.6113
GaiaDR291225105642624,044.60261021471,+00.62224385982,-0.9002,19.6725,20.1865,19.0304,1.1560
GaiaDR291225105644544,044.60584605999,+00.62679266101,,19.5838,19.3513,17.8649,1.4864
GaiaDR291469919274368,044.52368199920,+00.59384071053,2.0829,13.1243,13.4971,12.5941,0.9030
GaiaDR291499983374208,044.54197375867,+00.60515841382,0.7705,19.1641,19.9979,18.1791,1.8188
GaiaDR291534343111552,044.49228686259,+00.59439682797,0.3468,17.1110,17.4632,16.6108,0.8524
GaiaDR291607357487744,044.48503944192,+00.59554068904,0.3013,20.0571,21.8809,18.8770,3.0039
GaiaDR291603062588672,044.47702322354,+00.59809185635,0.5214,16.6156,16.9807,16.0842,0.8966
GaiaDR291740501543680,044.50147693826,+00.61600834264,1.5174,19.2197,20.8916,18.0184,2.8732
GaiaDR291779156918656,044.51688438417,+00.62622894887,0.2748,19.0071,19.4985,18.3915,1.1070
GaiaDR291813516657152,044.55694835094,+00.60381375367,0.1884,18.7566,19.2017,18.0799,1.1218
GaiaDR291981019891456,044.58415605375,+00.63315313156,-0.5782,18.6874,19.1336,18.0162,1.1174
GaiaDR292054034823680,044.58622725820,+00.63946910861,2.2676,16.3859,17.2316,15.4424,1.7892
GaiaDR292049739372288,044.57556521008,+00.64468142100,0.5972,17.4368,17.8618,16.8494,1.0124
GaiaDR292084098956288,044.53550784723,+00.62050502092,1.1103,19.7944,20.5739,18.6469,1.9270
GaiaDR292221538281728,044.56091537939,+00.64121144032,-0.0766,20.1692,21.2264,19.1878,2.0386
GaiaDR292225833547520,044.55751277109,+00.64436290591,0.4348,15.1745,15.6107,14.5848,1.0259
GaiaDR292255898023936,044.57602601081,+00.65772121158,1.3885,19.4230,20.5777,18.2578,2.3199
GaiaDR292462056043520,044.38240028171,+00.55492277347,-1.1631,19.2699,20.0992,18.6113,1.4879
GaiaDR292569430167680,044.38564288579,+00.55970959710,0.8517,20.4893,20.8133,19.3163,1.4970
GaiaDR292603790642688,044.41498584357,+00.56789126543,10.8393,9.9165,10.3109,9.3994,0.9115
GaiaDR292771295090048,044.38058214152,+00.56884166183,,21.1111,,,
GaiaDR292805653429888,044.39551059636,+00.58133302999,1.6485,18.9572,20.1356,17.7893,2.3463
GaiaDR292874372907136,044.39174066573,+00.58527779664,-0.9516,19.4113,19.7143,19.0160,0.6982
GaiaDR292908732673792,044.43056738744,+00.57001364912,0.2097,19.6370,20.6331,18.3996,2.2335
GaiaDR292908732644224,044.42599689109,+00.57346958710,,19.8303,19.3780,17.7107,1.6673
GaiaDR292943092413184,044.43535687395,+00.58267248969,,20.5460,21.1562,19.4051,1.7511
GaiaDR293080531337856,044.46309238874,+00.59246272220,-0.7254,19.2973,19.6396,18.8037,0.8359
GaiaDR293080532758784,044.45168474324,+00.59610957452,,21.0329,,,
GaiaDR293149250816000,044.45395595646,+00.60580841427,0.0824,18.7223,19.2257,17.8693,1.3564
GaiaDR293149252227584,044.45383803167,+00.60803496294,,20.9311,,,
GaiaDR293424128757248,044.43436362499,+00.62087873374,,20.5450,20.3499,19.2727,1.0772
